id,component_type,last_synced_at,source_file_version,status
1,SystemConfig,2024-08-16 12:25:36.107008+00:00,v0.0.0,complete
2,Cycle,2024-08-16 12:25:36.314660+00:00,v0.0.0,complete
3,Group,2024-08-16 12:25:36.514517+00:00,v0.0.0,complete
4,Dataset,2024-08-16 12:25:37.982898+00:00,v0.0.0,complete
5,DatasetCycle,2024-08-16 12:25:38.603630+00:00,v0.0.0,complete
6,Variable,2024-08-16 12:25:38.186374+00:00,v0.0.0,complete
7,VariableCycle,2024-08-16 12:25:38.349392+00:00,v0.0.0,complete
8,Field,2024-08-16 12:25:38.770046+00:00,v0.0.0,complete
9,NormalizationRule,2024-08-16 12:25:38.963373+00:00,v0.0.0,complete
10,QueryColumns,2024-08-16 13:11:16.124698+00:00,v0.0.0,pending
