id,datasetcycle_id,is_download,status,last_synced_at,source_file_version,source_file_size,chk_raw,chk_normalization,system_version,time_download,time_raw,time_normalization,records_raw,records_normalization,n_samples,n_variables,cycle,dataset
1,1,False,standby,2024-08-16 12:25:38.590781+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2017-2018,DEMO
2,2,True,standby,2024-08-16 12:32:00.099003+00:00,v.0,11500560,True,False,0.1.4,0,223,0,9965,0,9965,0,1999-2000,DEMO
3,3,False,standby,2024-08-16 12:25:52.063960+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2001-2002,DEMO
4,4,False,standby,2024-08-16 12:25:52.070349+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2003-2004,DEMO
5,5,False,standby,2024-08-16 12:25:52.076389+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2005-2006,DEMO
6,6,False,standby,2024-08-16 12:25:52.082696+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2007-2008,DEMO
7,7,False,standby,2024-08-16 12:25:52.089486+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2009-2010,DEMO
8,8,False,standby,2024-08-16 12:25:52.096756+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2011-2012,DEMO
9,9,False,standby,2024-08-16 12:25:52.101775+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2013-2014,DEMO
10,10,False,standby,2024-08-16 12:25:52.107054+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2015-2016,DEMO
11,11,False,standby,2024-08-16 12:25:52.113003+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,1999-2000,HDL
12,12,False,standby,2024-08-16 12:25:52.118592+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2001-2002,HDL
13,13,False,standby,2024-08-16 12:25:52.123269+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2003-2004,HDL
14,14,False,standby,2024-08-16 12:25:52.130503+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2005-2006,HDL
15,15,False,standby,2024-08-16 12:25:52.138928+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2007-2008,HDL
16,16,False,standby,2024-08-16 12:25:52.145268+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2009-2010,HDL
17,17,False,standby,2024-08-16 12:25:52.151937+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2011-2012,HDL
18,18,False,standby,2024-08-16 12:25:52.157993+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2013-2014,HDL
19,19,False,standby,2024-08-16 12:25:52.166787+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2015-2016,HDL
